

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
1	358	445	14	20	140.5	34
2	336	411	13	20	50.0	34
3	575	408	18	20	76.0	34
4	382	390	2	20	18.5	34
5	14	387	14	20	87.0	34
6	93	307	20	14	50.0	34
7	623	302	7	5	6.0	34
7	185	233	13	20	43.5	34
8	212	232	10	20	117.5	34
9	179	222	255	155	1209.0	34
9	232	204	13	20	58.0	34
10	254	132	18	20	217.5	34
11	446	104	16	20	51.5	34
12	92	48	16	20	73.0	34
13	404	43	12	13	71.0	34
14	616	36	16	20	184.0	34
15	565	36	19	20	124.5	34
16	128	12	20	20	112.0	34

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	269	454	19	20	111.0	35
1	358	445	14	20	140.5	35
2	337	412	13	20	50.0	35
3	576	408	18	20	76.0	35
4	382	390	2	20	18.5	35
5	14	389	14	20	87.0	35
6	93	308	20	14	50.0	35
7	187	234	13	20	43.5	35
8	212	233	10	20	117.5	35
9	179	222	255	155	1209.0	35
9	232	205	13	20	58.0	35
10	256	132	18	20	217.5	35
11	446	104	16	20	51.5	35
12	53	51	6	3	8.0	35
12	93	49	16	20	73.0	35
13	405	43	12	13	68.5	35
14	616	38	16	20	184.0	35
15	567	37	19	20	124.5	35
16	130	13	20	20	111.0	35

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	269	455	19	20	110.0	36
1	358	447	14	20	139.5	36
2	337	414	13	20	50.0	36
3	576	409	18	20	77.0	36
4	383	392	2	20	18.5	36
5	14	389	14	20	88.0	36
6	93	308	20	14	50.0	36
7	187	236	13	20	44.5	36
8	214	233	10	20	120.5	36
9	179	222	255	155	1209.0	36
9	233	205	13	20	57.0	36
10	251	133	23	20	220.0	36
11	447	104	17	20	53.0	36
12	412	59	4	4	4.5	36
12	94	49	16	20	73.0	36
13	406	43	12	12	66.0	36
14	569	39	19	20	124.5	36
15	616	38	16	20	186.0	36
16	130	13	20	20	119.5	36

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	270	455	19	20	115.5	37
1	359	449	14	20	139.5	37
2	339	414	13	20	50.0	37
3	576	410	18	20	77.0	37
4	383	393	2	20	18.5	37
5	16	389	14	20	88.0	37
6	93	308	20	14	55.5	37
7	188	237	13	20	44.5	37
8	216	235	10	20	120.5	37
9	179	222	255	155	1209.0	37
9	233	206	13	20	57.0	37
10	258	133	18	20	217.5	37
11	448	104	17	20	53.0	37
12	412	59	4	6	10.5	37
12	94	49	16	20	73.0	37
13	406	45	12	9	59.0	37
14	617	40	16	20	186.0	37
15	570	39	19	20	124.5	37
16	132	14	20	20	112.0	37

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	271	456	19	20	109.0	38
1	361	451	14	20	139.5	38
2	340	415	13	20	50.0	38
3	577	410	18	20	77.0	38
4	384	393	2	20	18.5	38
5	17	389	14	20	89.0	38
6	95	308	20	14	48.0	38
7	216	237	10	20	120.5	38
8	188	237	13	20	44.5	38
9	179	222	255	155	1209.0	38
9	233	206	13	20	57.0	38
10	258	134	18	20	217.5	38
11	448	106	17	20	57.5	38
12	412	59	4	7	13.5	38
12	94	50	16	20	73.0	38
13	406	46	12	8	55.0	38
14	617	40	16	20	186.0	38
15	570	39	19	20	124.5	38
16	134	14	20	20	114.0	38

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	361	451	14	20	139.5	39
1	341	415	13	20	50.0	39
2	577	410	18	20	77.0	39
3	384	392	3	21	20.5	39
4	17	391	14	20	89.0	39
5	95	308	20	14	49.0	39
6	218	239	10	20	120.5	39
7	188	237	13	20	44.5	39
8	179	219	255	158	1223.0	39
8	233	206	13	20	57.0	39
9	258	134	18	20	217.5	39
10	450	106	17	20	52.0	39
11	412	59	4	7	13.5	39
11	94	51	16	20	73.0	39
12	406	46	12	8	55.0	39
13	240	42	4	6	6.0	39
13	572	41	19	20	124.5	39
14	134	15	20	20	114.0	39
15	50	7	9	20	42.0	39

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	362	451	14	20	139.5	40
1	343	417	13	20	50.0	40
2	578	410	18	20	77.0	40
3	384	393	2	20	18.5	40
4	17	391	14	20	89.0	40
5	537	379	4	5	5.0	40
5	95	308	20	14	49.0	40
6	218	239	10	20	120.5	40
7	188	239	13	20	44.5	40
8	179	222	255	155	1209.0	40
8	235	208	13	20	57.0	40
9	259	136	18	20	217.5	40
10	450	107	17	20	52.0	40
11	412	59	4	7	13.5	40
11	95	51	19	20	78.5	40
12	406	46	12	8	55.0	40
13	572	41	19	20	124.5	40
14	136	16	20	20	113.0	40
15	50	9	9	20	42.0	40

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	363	451	14	20	139.5	41
1	345	418	13	20	50.0	41
2	579	410	18	20	77.0	41
3	384	393	2	20	18.5	41
4	17	391	14	20	89.0	41
5	95	309	20	14	50.0	41
