

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
13	291	30	15	21	81.0	43
14	582	26	13	21	146.0	43
15	178	9	11	21	43.5	43

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	449	20	17	73.5	44
1	80	441	12	21	74.0	44
2	439	409	10	20	90.5	44
3	135	400	17	21	179.0	44
4	551	329	19	21	96.0	44
5	221	254	15	20	142.5	44
6	328	247	5	14	21.0	44
7	325	241	6	3	7.0	44
7	49	220	15	21	229.0	44
8	253	218	17	21	134.0	44
9	338	203	15	21	134.5	44
10	83	113	12	21	63.5	44
11	122	101	15	21	142.0	44
12	92	61	15	21	113.0	44
13	77	32	17	21	93.0	44
14	293	30	15	21	81.0	44
15	584	26	13	21	146.0	44
16	178	9	11	21	43.5	44

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	450	20	17	73.5	45
1	82	441	12	21	74.0	45
2	439	410	10	20	90.5	45
3	135	400	17	21	179.0	45
4	551	329	19	21	96.0	45
5	221	254	15	20	142.5	45
6	331	244	6	19	28.0	45
7	49	220	15	21	229.0	45
8	255	219	17	21	135.0	45
9	340	203	15	21	133.5	45
10	85	113	12	21	63.5	45
11	122	101	15	21	142.0	45
12	92	62	15	21	113.0	45
13	79	33	17	21	93.0	45
14	294	31	15	21	81.0	45
15	586	27	13	21	146.0	45
16	180	9	11	21	43.5	45

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	238	452	20	17	73.5	46
1	82	442	12	21	74.0	46
2	439	412	10	20	90.5	46
3	137	401	17	21	179.0	46
4	553	330	19	21	96.0	46
5	221	254	15	20	142.5	46
6	333	243	6	20	29.0	46
7	50	222	15	21	229.0	46
8	256	219	17	21	134.0	46
9	340	203	15	21	133.5	46
10	85	114	12	21	63.5	46
11	124	101	15	21	142.0	46
12	93	62	15	21	113.0	46
13	81	33	17	21	93.0	46
14	294	31	15	21	81.0	46
15	586	27	13	21	146.0	46
16	182	9	11	21	43.5	46

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	240	454	20	17	73.5	47
1	84	444	12	21	74.0	47
2	439	412	10	20	90.5	47
3	137	403	17	21	179.0	47
4	554	331	19	21	96.0	47
5	222	256	15	20	142.5	47
6	332	244	9	21	40.0	47
7	50	223	15	21	229.0	47
8	256	221	17	21	134.0	47
9	340	205	15	21	134.5	47
10	85	114	12	21	63.5	47
11	126	103	15	21	142.0	47
12	93	63	15	21	113.0	47
13	81	35	17	21	94.5	47
14	296	32	15	21	80.0	47
15	587	27	13	21	146.0	47
16	184	11	11	21	43.5	47

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	242	455	20	17	73.5	48
1	86	446	12	21	74.5	48
2	440	413	10	20	90.5	48
3	137	404	17	21	177.5	48
4	554	332	19	21	96.0	48
5	223	258	15	20	142.5	48
6	333	244	10	21	45.0	48
7	51	224	15	21	229.0	48
8	256	221	17	21	134.0	48
9	340	207	15	21	135.5	48
10	87	114	12	21	63.5	48
11	126	104	15	21	143.0	48
12	94	63	15	21	112.5	48
13	83	35	17	21	94.0	48
14	296	32	15	21	81.0	48
15	587	27	13	21	146.0	48
16	185	11	11	21	45.5	48

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	242	457	20	17	73.5	49
1	88	446	12	21	74.5	49
2	440	415	10	20	90.5	49
3	137	405	17	21	179.5	49
4	556	332	19	21	96.0	49
5	225	259	15	20	142.5	49
6	333	244	10	21	45.0	49
7	51	224	15	21	229.0	49
8	256	221	17	21	134.0	49
9	340	208	15	21	135.5	49
10	89	115	12	21	63.5	49
11	127	104	15	21	143.0	49
12	95	64	15	21	112.5	49
13	85	35	17	21	94.0	49
14	297	34	15	21	81.0	49
15	587	27	13	21	146.0	49
16	185	12	11	21	45.5	49

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	88	447	12	21	74.5	50
1	440	417	10	20	90.5	50
2	137	405	17	21	179.5	50
3	557	333	19	21	96.0	50
4	227	259	15	20	142.5	50
5	333	244	10	21	45.0	50
6	51	226	15	21	229.0	50
7	258	222	16	21	132.0	50
8	341	208	15	21	135.5	50
9	89	115	12	21	63.5	50
10	128	106	15	21	143.0	50
11	96	65	15	21	112.5	50
12	297	35	15	21	81.0	50
13	87	35	17	21	94.0	50
14	587	29	13	21	146.0	50
15	185	12	11	21	45.5	50

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	88	448	12	21	74.5	51
1	442	417	10	20	90.5	51
2	137	405	17	21	179.5	51
3	558	333	19	21	96.0	51
4	229	261	15	20	142.5	51
5	335	244	10	21	45.0	51
6	51	226	15	21	229.0	51
7	259	222	16	21	132.0	51
8	341	210	15	21	134.5	51
9	89	115	12	21	63.5	51
10	128	108	15	21	143.0	51
11	98	65	15	21	112.5	51
12	297	36	15	21	81.0	51
13	87	36	17	21	94.0	51
14	588	31	13	21	146.0	51
15	185	12	11	21	45.5	51

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	89	450	12	21	74.5	52
1	442	418	10	20	90.5	52
2	138	406	17	21	179.5	52
3	559	333	19	21	96.0	52
4	229	263	15	20	142.5	52
5	337	245	10	21	45.0	52
6	52	228	15	21	229.0	52
7	259	222	16	21	132.0	52
8	341	210	15	21	134.5	52
9	90	116	12	21	63.5	52
10	128	109	15	21	143.0	52
11	99	67	15	21	112.5	52
12	298	36	15	21	80.0	52
13	88	36	17	21	94.0	52
14	589	31	13	21	146.0	52
15	186	12	11	21	44.5	52

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	452	12	21	74.5	53
1	443	419	10	20	90.5	53
2	139	406	17	21	179.5	53
3	560	335	19	21	96.0	53
4	229	265	15	20	142.5	53
5	337	247	10	21	45.0	53
6	53	230	15	21	229.0	53
7	259	222	16	21	132.0	53
8	343	210	15	21	134.5	53
9	92	116	12	21	63.5	53
10	128	109	15	21	143.0	53
11	99	67	15	21	112.5	53
12	300	37	15	21	80.0	53
13	90	36	17	21	94.0	53
14	590	33	13	21	146.0	53
15	186	12	11	21	45.5	53

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	453	12	21	74.5	54
1	445	421	10	20	90.5	54
2	139	407	17	21	179.5	54
3	561	335	19	21	96.0	54
4	231	265	15	20	142.5	54
5	337	248	10	21	45.0	54
